run_number,total_N,vector_sum_norm,pio3_stdev,pio4_stdev,pio6_stdev,pio8_stdev,pio3_stdev_n,pio4_stdev_n,pio6_stdev_n,pio8_stdev_n
365138,7333,522.065030439506,187.735733189575,134.670255562688,78.0366526796952,51.1569295112926,0.102216113629588,0.125632777241911,0.157972672698976,0.184836193469569
365139,7333,521.207637705679,187.421151347353,134.447833015911,77.941889748446,51.113688762333,0.102044833858901,0.125426307467946,0.157783642182588,0.184685812837741
365137,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
365141,7333,520.741094006585,187.344541324037,134.424283646687,77.9396013103269,51.1117159759196,0.102003609319715,0.125405364507979,0.157779009524815,0.184682587044527
365140,7333,520.95626773144,187.474395912634,134.556863612226,78.0100449600419,51.1446846655244,0.102073173818131,0.125525967609229,0.157918809643043,0.184797808346462
365142,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
365143,7336,521.482563022233,187.608335151589,134.635181637913,78.0509167059922,51.1791530747536,0.102105785950469,0.125551083505341,0.157938912339725,0.184838379550829
365144,7332,520.462882107499,187.303105516351,134.440124069224,77.9446442424924,51.1113693839072,0.10199387646061,0.125434855073276,0.157808834542579,0.184696945640374
365146,7333,520.741094006585,187.344541324037,134.424283646687,77.9396013103269,51.1117159759196,0.102003609319715,0.125405364507979,0.157779009524815,0.184682587044527
365145,7332,521.300359567354,187.538474148464,134.563435790596,78.0008567129878,51.1389750516251,0.102122694305827,0.125550249460878,0.157922643830463,0.184802559913522
365148,7332,520.77686128612,187.400277757224,134.504990735456,77.9935465092008,51.1436947839987,0.102046303110977,0.125493322579792,0.157907843394191,0.184815710063583
365147,7333,520.95626773144,187.474395912634,134.556863612226,78.0100449600419,51.1446846655244,0.102073173818131,0.125525967609229,0.157918809643043,0.184797808346462
365150,7332,521.300359567354,187.538474148464,134.563435790596,78.0008567129878,51.1389750516251,0.102122694305827,0.125550249460878,0.157922643830463,0.184802559913522
365149,7334,521.506650484369,187.541912805793,134.531074094658,77.975370136138,51.1296505779445,0.102097093815343,0.125487874790324,0.157828997641874,0.184716165229935
365151,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
