r,Phi,Theta
1,2.00669036072936,2.25107767487281
1,2.19229792526605,2.21983741846528
1,2.41624651698429,2.25422834799771
1,2.67831668601468,2.28899547730624
1,2.97921380693742,2.28509240462914
1,-3.03908913630296,2.05540676632527
1,-2.60183527153217,2.08899839379434
1,-2.19925448612589,2.12088132481939
1,-1.76397567017966,2.08208572290837
1,-1.37307275282337,2.0766465011455
1,-0.937151262259624,2.1344401917499
1,-0.509882366546337,2.08813626930742
1,-0.100780785020875,2.09393601585574
1,0.317569041000547,2.12997281940863
1,0.756844979567908,2.09399871581842
1,1.14792032182159,2.080769023692
1,1.56725767225529,2.12622649663824
1,2.01543700552384,2.08438994653703
1,2.40202930044558,2.07558060177986
1,2.82525404856572,2.12142994949288
1,-3.11813811425739,1.91945757223468
1,-2.9341607487505,1.88389101840192
1,-2.7137233549426,1.88570931731976
1,-2.54148655744837,1.93704491176767
1,-2.30783514650471,1.93583793748599
1,-2.08238175568205,1.93579091251398
1,-1.84927896941188,1.93527363782183
1,-1.68213654388577,1.89335871276727
1,-1.46213804981665,1.89038046453976
1,-1.28164053223875,1.93673141195425
1,-1.05673576608957,1.94530563185135
1,-0.822284930621684,1.94814280516282
1,-0.605703584518871,1.93202891475291
1,-0.420550594711647,1.89022371463305
1,-0.206649672013594,1.89406408734747
1,-0.0270926538759575,1.9392550854523
1,0.201746534931669,1.94325220807343
1,0.433814771817544,1.94259385846525
1,0.665538158908656,1.93365911378271
1,0.828965611645714,1.88445531806608
1,1.05294555334529,1.88798219096708
1,1.2402773668558,1.93111976529399
1,1.46648315723068,1.93227971460365
1,1.68945989952731,1.94286033330665
1,1.91842448826031,1.93624548724344
1,2.1029975034127,1.89346843770197
1,2.30595728262231,1.88813894087379
1,2.49081244760679,1.92698156775681
1,2.7160777385414,1.9350228379711
1,2.93819235635111,1.95083890355825
1,-2.52999678928644,0.462749339186504
1,-3.10070752463111,0.454723743962892
1,-1.83543795264928,0.469489585175084
1,-1.26192139397448,0.452325470390212
1,-0.577786426133613,0.478518379801647
1,-0.0173898346505368,0.458297641835907
1,0.708487633347514,0.477907055165473
1,1.23336469596984,0.462514214326437
1,1.93566697799853,0.463940638477509
1,2.5128358094997,0.456965267628862
1,-2.19619786294502,0.55480855939797
1,-0.934267063976138,0.54667323923966
1,0.311173644806731,0.564166528828626
1,1.57227366927005,0.564480028642048
1,2.83382826846282,0.574464997699549
1,3.13511726415235,0.688986479542725
1,2.573780173229,0.69481757607238
1,1.85765254942839,0.673860113545097
1,1.31793127064051,0.691055578311312
1,0.598088674050842,0.682622433330252
1,0.05052989992741,0.68077278443106
1,-0.673043344441986,0.68133708409522
1,-1.19058451143023,0.68288890817166
1,-1.90020701410233,0.685177456809643
1,-2.4432984158845,0.683892107574612
